#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
  30000      4.58e+00    3.68e+00      5.43e-02    5.33e-02      1.84e-01    1.47e-01    6.2e-05
  30200      2.96e+00    2.03e+00      2.82e-02    4.08e-02      1.19e-01    8.12e-02    6.2e-05
  30400      3.41e+00    5.37e+00      1.47e-01    1.42e-02      1.34e-01    2.16e-01    6.2e-05
  30600      4.34e+00    6.56e+00      4.07e-01    4.13e-01      1.24e-01    2.32e-01    6.2e-05
  30800      3.56e+00    4.35e+00      5.94e-02    1.30e-01      1.43e-01    1.73e-01    6.2e-05
  31000      1.19e+00    3.09e+00      1.19e-02    4.94e-02      4.78e-02    1.24e-01    6.2e-05
  31200      4.86e+00    5.18e+00      3.90e-02    1.34e-02      1.95e-01    2.08e-01    6.2e-05
  31400      4.26e+00    4.47e+00      6.53e-02    1.11e-02      1.71e-01    1.80e-01    6.2e-05
  31600      4.45e+00    4.15e+00      1.70e-02    1.46e-02      1.79e-01    1.67e-01    6.2e-05
  31800      5.16e+00    4.43e+00      2.85e-02    5.96e-02      2.07e-01    1.78e-01    6.2e-05
  32000      3.44e+00    3.01e+00      1.34e-01    9.28e-02      1.35e-01    1.18e-01    6.2e-05
  32200      3.44e+00    5.04e+00      9.59e-02    5.73e-03      1.37e-01    2.02e-01    6.2e-05
  32400      4.97e+00    5.80e+00      1.66e-02    5.35e-03      1.99e-01    2.33e-01    6.2e-05
  32600      5.16e+00    4.67e+00      6.42e-02    1.23e-02      2.07e-01    1.87e-01    6.2e-05
  32800      5.12e+00    4.21e+00      1.63e-01    8.72e-02      2.03e-01    1.68e-01    6.2e-05
  33000      5.68e+00    4.90e+00      5.57e-02    8.68e-03      2.28e-01    1.97e-01    6.2e-05
  33200      1.31e+00    2.35e-01      1.12e-02    2.50e-01      5.25e-02    1.68e-06    6.2e-05
  33400      5.03e+00    4.23e+00      5.14e-02    3.61e-02      2.02e-01    1.70e-01    6.2e-05
  33600      3.70e+00    4.64e+00      4.19e-02    4.42e-03      1.48e-01    1.86e-01    6.2e-05
  33800      1.40e+00    5.05e+00      1.32e-02    5.40e-02      5.62e-02    2.02e-01    6.2e-05
  34000      4.29e+00    6.44e+00      1.07e-01    5.77e-02      1.71e-01    2.58e-01    6.2e-05
  34200      4.27e+00    6.26e+00      2.47e-01    1.87e-01      1.64e-01    2.45e-01    6.2e-05
  34400      1.45e+00    3.88e+00      5.23e-02    2.47e-02      5.79e-02    1.56e-01    6.2e-05
  34600      3.51e+00    2.79e+00      7.84e-02    6.39e-03      1.40e-01    1.12e-01    6.2e-05
  34800      7.55e+00    5.38e+00      5.79e-02    4.84e-02      3.03e-01    2.16e-01    6.2e-05
  35000      3.23e+00    7.12e+00      2.56e-02    2.21e-02      1.35e-01    2.97e-01    5.7e-05
  35200      8.77e+00    4.61e+00      5.61e-02    5.77e-02      3.66e-01    1.92e-01    5.7e-05
  35400      7.98e+00    2.92e+00      5.62e-02    2.70e-02      3.33e-01    1.22e-01    5.7e-05
  35600      6.13e+00    4.72e+00      2.74e-03    1.43e-01      2.56e-01    1.92e-01    5.7e-05
  35800      3.62e+00    1.67e+00      7.05e-02    2.81e-02      1.51e-01    6.95e-02    5.7e-05
  36000      8.49e+00    7.39e+00      7.54e-02    8.08e-03      3.54e-01    3.09e-01    5.7e-05
  36200      1.26e+00    5.38e+00      4.74e-03    8.81e-03      5.26e-02    2.24e-01    5.7e-05
